content,score,at,userName,thumbsUpCount,reviewCreatedVersion,app_id,app_name,sentiment
mau check out lah diskonnya ga berlaku trus hilang,1,2026-04-03T01:45:48.000000,Priscilla Gita,0,3.358.0,com.tokopedia.tkpd,Tokopedia,Negatif
gampang cari dan fast respon,5,2026-06-27T04:43:17.000000,SEKAR NUSA BARUNA,0,,com.gojek.app,Gojek,Positif
mohon bantuan nya dana saya tidak bisa masuk. no saya sudah hilang,5,2026-06-27T16:28:25.000000,Khairun Nisa,0,2.131.1,id.dana,DANA,Positif
dana cicil saya tidak tersedia,5,2026-06-26T21:17:03.000000,Gesa Yunda,1,2.131.1,id.dana,DANA,Positif
bawa mesin sepet air,5,2026-06-25T18:50:22.000000,ardiyansah ardi1234,0,2.131.1,id.dana,DANA,Positif
Dana cicil nya wedus,1,2026-06-21T02:52:28.000000,D Ridwan,0,2.129.0,id.dana,DANA,Negatif
kenapa di akun dana saya tidak ada fitur dana cicil nya. .. tolong di perbaiki lagi Terima kasih,5,2026-06-22T18:36:03.000000,Riska Apriyani,0,2.129.0,id.dana,DANA,Positif
cepat singkat mantapp,2,2026-06-24T03:52:44.000000,Damar Jati,0,2.129.0,id.dana,DANA,Negatif
mantap lah pokoknya,5,2026-06-05T06:13:52.000000,Dzulqarnain Izzue,0,5.61.1,com.gojek.app,Gojek,Positif
over all oke,5,2026-05-13T06:48:42.000000,Khoirun Nisa,0,5.51.1,com.gojek.app,Gojek,Positif
ada dana cicil tapi tidak dengan kendala tersedia.. aneh,1,2026-06-28T03:44:35.000000,Arif Safrudin,0,2.129.0,id.dana,DANA,Negatif
apk tolol bikin laporan cs-nya satu jam baru ada jawaban,1,2026-06-05T12:40:34.000000,Rasyha fadillah al azhar,0,5.61.1,com.gojek.app,Gojek,Negatif
BANYAK DISKONNYA SUKAAKKKK🤍🤍🤍🤍,5,2026-05-27T13:39:31.000000,Raya Rifat,0,5.60.1,com.gojek.app,Gojek,Positif
"Sengaja download Tokped unfol shopee krna pngn support produk lokal, eh ternyata fiturnya kalah jauh dg shopee, terpaksa gua unfoll dan beralih ke produk Singapore, udh gtu antar muka penggunanya bnyak bug",1,2026-06-19T04:29:38.000000,Aditia,1,3.369.0,com.tokopedia.tkpd,Tokopedia,Negatif
saya suka produk Indonesia,5,2026-06-18T06:26:10.000000,Tri Sevenfold,0,3.369.0,com.tokopedia.tkpd,Tokopedia,Positif
aplikasi ramah umkm,5,2026-06-13T05:15:27.000000,Faiz Ffx,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
bagus utk yg ga mau keluar rumah utk berbelanja,5,2026-06-01T07:41:39.000000,Syarifudin Baharudin,0,,com.tokopedia.tkpd,Tokopedia,Positif
mantab memudahkan,5,2026-05-22T12:38:44.000000,Ahmad Nursadil,0,5.52.1,com.gojek.app,Gojek,Positif
aman terpercaya,5,2026-05-09T07:15:43.000000,Ika fia Riski,0,5.59.1,com.gojek.app,Gojek,Positif
"shopnya setiap ada promo bisa di CO tetapi pasti tidak dapat barangnya karena dibatalkan terus, terus aja seperti itu cuma menarik promonya tapi zonk",1,2026-06-20T01:39:02.000000,Ayang Setiadini,0,3.369.0,com.tokopedia.tkpd,Tokopedia,Negatif
suka banget belanja di Tokopedia,5,2026-06-15T16:31:49.000000,Friza Octa,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
sangat membantu ber belanja onlin,5,2026-05-24T03:57:04.000000,Iwan mrj Iwan,2,3.364.0,com.tokopedia.tkpd,Tokopedia,Positif
"Halo tim Gojek Indonesia, semoga ke depannya bisa menambahkan metode pembayaran melalui QRIS agar pengguna bisa membayar layanan Gojek lebih mudah tanpa harus menggunakan GoPay saja. Selain itu, mohon juga untuk memperbanyak promo dan diskon agar makin menarik bagi pengguna dan tidak kalah saing dengan aplikasi sebelah yang serupa. Karena sekarang banyak pengguna yang mempertimbangkan promo saat memilih aplikasi transportasi online. Terima kasih 🙏",5,2026-05-12T10:14:20.000000,Steven Renyaan,3,5.60.1,com.gojek.app,Gojek,Positif
dana cicil nggak bisa di gunakan aplikasi penipu,1,2026-06-28T05:18:31.000000,Mardita kakayo,0,2.131.1,id.dana,DANA,Negatif
mempermudah mengirim uang,5,2026-06-26T13:51:00.000000,Dini Wulandari,0,2.126.0,id.dana,DANA,Positif
DOWNLOAD BUAT BANTU DUKUNG PRODUK INDONESIA❤️‍🔥,5,2026-06-13T13:53:08.000000,Jillmorya Orlyn,1,,com.tokopedia.tkpd,Tokopedia,Positif
SISTEM TOLOL WAKTU PROMO GRATIS ONGKIR BLM HABIS DAN TOKO JUGA ADA GRATIS ONGKIR YAPI BEGITU CO TIDAK BISA DI PAKE GRATIS ONGKIR NYA PENIPU TOPED,5,2026-06-04T15:43:27.000000,Dewi Yanti,0,3.367.1,com.tokopedia.tkpd,Tokopedia,Positif
kok dana ku gk bisa mengirim alasan keamanan kak belum ada yg balas katanya harus nunggu 24 jam baru di balas adehhh tolong di bantu pihak dana 🙏🙏,2,2026-06-28T09:38:04.000000,Si paling Ituji,0,2.131.1,id.dana,DANA,Negatif
eror Mulu pas pagi Mhu tup up game',5,2026-06-22T10:13:45.000000,Siti Maryam,0,2.129.0,id.dana,DANA,Positif
"ada saldo gopay malah tidak bisa bayar, malah diarahin pakai paylater, kocak ini toped lama².",1,2026-05-29T08:19:45.000000,babang jago,0,3.366.0,com.tokopedia.tkpd,Tokopedia,Negatif
"iiii loooveeee gojeekkk soo muchh, pria dan wanita green flag yang mengantar aku kemana punn!!!!! iii loveee uuu soo much gojeekkk🤍🤍🤍",5,2026-05-28T14:55:56.000000,Lulu Rahmawati,0,5.61.1,com.gojek.app,Gojek,Positif
kenapa akun saya hilang,1,2026-06-21T18:38:13.000000,Ayub Prakoso,0,2.129.0,id.dana,DANA,Negatif
jadikan war war tokopedia sebagai main theme pls.,5,2026-05-09T16:19:23.000000,Brian Aurel Azka Afkaruna,0,3.363.0,com.tokopedia.tkpd,Tokopedia,Positif
disuruh install terussss,1,2026-06-16T01:20:41.000000,Galuh dharma S,1,5.29.2,com.gojek.app,Gojek,Negatif
"saya buat pesanan dengan pengiriman sameday, tapi oleh pihak seller barang tidak di konfirmasi dan dikirim, waktu di hubungi juga seller tidak menjawab. saya minta pertanggungjawaban di customer servis katanya pesanan akan di cancel otomatis dan dana akan di kembalikan, disarankan juga untuk membeli di toko lain. masalahnya ini buang buang waktu saya dan tidak ada tanggung jawab entah dari seller atau tokTokopedia, lebih baik belanja ditempat lain saja.",1,2026-06-22T16:20:29.000000,TURU_ Amimir,2,3.369.0,com.tokopedia.tkpd,Tokopedia,Negatif
"pelayanan bagus, cepat, tepat,amanah",5,2026-06-25T23:15:57.000000,Ernita,0,5.63.1,com.gojek.app,Gojek,Positif
bagus dan membantu top bgt,5,2026-06-25T10:20:56.000000,Muhammad Syafiq,0,5.55.2,com.gojek.app,Gojek,Positif
susah dapat driver sampai pakai prioritas pun sama tolong dibenahi,3,2026-05-27T12:51:34.000000,Puspita Dewi,1,5.61.1,com.gojek.app,Gojek,Netral
"saya download karna habis delete shoope. #sellsingapura. semoga apk ini bisa berkembang dengan baik, aman dari penipuan.",4,2026-06-14T08:26:17.000000,Syamsi Anchi,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
mau bikin qris dana. tapi pas ke tab bisnis tulisannya ada maslah. padahal udah udah premium. mungkin haruss nunggu bbrpa tahun lagi untk merasakannya,3,2026-06-26T03:51:19.000000,Wik De,0,2.129.0,id.dana,DANA,Netral
aplikasi tolol masa mau co pake promo ngga bisa bisa,1,2026-06-25T05:13:59.000000,Nadia Kaila Anggraeni,0,3.370.0,com.tokopedia.tkpd,Tokopedia,Negatif
Pihak Tokopedia selalu menyepelekan paket' yang bermasalah hingga paket tersebut di cancel secara sepihak oleh pihak ekspedisi,1,2026-06-26T06:12:51.000000,OWEN KNIGHT,0,,com.tokopedia.tkpd,Tokopedia,Negatif
"aktivitas mencurigakn terdeteksi, padahal GK pernah melakukan kesalahan.",1,2026-06-25T00:24:30.000000,Verina Bakrie,0,,com.gojek.app,Gojek,Negatif
"sebenernya bagus, tapi kenapa tiap ngisi saldo atau dpet kiriman uang, selalu ke potong trs? baru kemarin dapet kiriman uang, lngusng ke potong di dana, trs bsknya ngisi saldo kepotong lagi? kenapa ya? jadinya saldonya ga prnh pas, pasti aja ke potong.",3,2026-06-25T13:46:21.000000,Deviputri Lestari,0,2.119.0,id.dana,DANA,Netral
parah buat orang login otomatis daur orang masuk ke akin ikel saye,5,2026-05-25T00:38:29.000000,Yusuf Toto,0,5.61.1,com.gojek.app,Gojek,Positif
kemudahan pembayaran,5,2026-06-02T06:46:32.000000,agoes wibowo,0,3.366.0,com.tokopedia.tkpd,Tokopedia,Positif
aplikasi yang mantap btw bagus saldo min,5,2026-06-18T11:59:57.000000,Fabian maulana,0,5.63.1,com.gojek.app,Gojek,Positif
Cukup membantu bagi Masyarakat yang menggunakan app gojek,5,2026-06-01T02:28:55.000000,Rudi Aulia,0,5.61.1,com.gojek.app,Gojek,Positif
suka belanja disiniii,5,2026-06-18T17:29:56.000000,nadya,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
"gimanasih, sy udh order’ tp gd yg mau ambil. pdhl cuaca lg bagus",1,2026-05-24T08:02:30.000000,Ratna Putri,1,5.59.1,com.gojek.app,Gojek,Negatif
@123 Wahyu abai gamkom,5,2026-06-18T04:26:54.000000,Dede Sopanf,0,,com.gojek.app,Gojek,Positif
bagussss bgtttt cepet lagiii,5,2026-05-31T11:20:46.000000,Exa Galaxy122,0,3.366.0,com.tokopedia.tkpd,Tokopedia,Positif
"kalo promo.hemat gak bisa buat cari driver,,mending jgn ksh promonya kk",1,2026-06-04T23:08:21.000000,Rizki Ramadhan,0,,com.gojek.app,Gojek,Negatif
"sulit login, verifikasi muka gagal terus. sudah coba di 3 hape berbeda masih saja tidak bisa",2,2026-06-11T17:20:24.000000,Rial,0,5.62.2,com.gojek.app,Gojek,Negatif
kenapa ga ada free ongkir lagi padahal belanja selalu banyak,3,2026-05-02T01:37:29.000000,Vera Tasik,0,3.126.1,com.tokopedia.tkpd,Tokopedia,Netral
"Aplikasi ini kenapa sering lemot sendiri ya, padahal sinyal bagus, hape juga masih baru. Aneh.",2,2026-06-02T06:44:58.000000,Fuad Mohamad Al-Ghiffari,4,5.61.1,com.gojek.app,Gojek,Negatif
dari dulu sampe sekarang gojek Poko nya ga ada lawan dah,5,2026-05-15T09:58:10.000000,SR_ maryani,0,,com.gojek.app,Gojek,Positif
kenapa verifikasi mukanya gagal terus yaa ?,5,2026-06-27T15:10:30.000000,Tri Mey Nizar Rachman,0,2.65.1,id.dana,DANA,Positif
"teruntuk developer dana yang TERHORMAT, ini sebenernya niat gaksih ngasih event claim dana point???? nggak ada semenit bahkan baru beberapa detik masak stock udah habis..... klo semisal gak niat mending gak usah bikin event scam kayak gini deh.... baru kali ini kecewa sama dana",3,2026-06-26T03:09:43.000000,Alvin Lhopek,0,2.131.1,id.dana,DANA,Netral
apa bisa di bantu kalo mau kirim uang tapi ada tulisan keluar untuk keamanan anda,4,2026-06-24T22:40:16.000000,Muja Yim,0,,id.dana,DANA,Positif
ga selalu cepat dapat gojek nya pada males kali,3,2026-05-15T05:56:30.000000,Hendri WiKiZa,3,5.60.1,com.gojek.app,Gojek,Netral
good thank you,5,2026-05-09T08:31:46.000000,Victories Media,0,,com.gojek.app,Gojek,Positif
"kalo ga niat ngasih promo untuk penggunaan baru, gausah ngasih. padahal mau pake promo penggunaan baru malah gak bisa, dengan alasan promo tidak berlaku",4,2026-05-04T17:32:36.000000,Nich Ryuu,1,3.361.0,com.tokopedia.tkpd,Tokopedia,Positif
"pengiiriman lama,padahal masih sama sama dipulau jawa payah sekali",3,2026-06-01T07:21:26.000000,re JA,0,3.365.0,com.tokopedia.tkpd,Tokopedia,Netral
mending itu cs gojek ganti aja semua pak. saya sering liat di kantor bagian cs kerjaan ngerumpi aja itu,1,2026-06-25T08:18:32.000000,juun last030,0,,com.gojek.app,Gojek,Negatif
saya sangat puas,5,2026-06-12T09:45:21.000000,Bukan Habib,1,5.62.2,com.gojek.app,Gojek,Positif
cocok,5,2026-06-23T08:29:22.000000,Raden Sutoyodiningrat,0,2.129.0,id.dana,DANA,Positif
sangat membantu cuman sayang di dana cicil nya tidak pernah acc,5,2026-06-22T12:23:37.000000,Angga Rajaya,0,2.129.0,id.dana,DANA,Positif
ah gak jelas aplikasinya fitur dana cicil ad tapi aktivasi gagal Mulu .transaksi udah banyak banget .padhal sangat membantu itu dana cicil disaat tanggal tua minimal bisa beli kuota lah gak asik,2,2026-06-22T01:34:24.000000,Putri Amiira,0,2.129.0,id.dana,DANA,Negatif
Kenapa di aplikasi dan tidak ada fitur penghapusan akun oleh karena itu dami kebijakan tersebut saran saya adalah saya ingin dana ada fitur tersebut bisa memungkinkan orang untuk menghapus data aplikasi nya dari sebagian orang pasti mengeluh tentang hal ini dari berbagai faktor,3,2026-06-26T00:22:11.000000,Tores Anderlecht,0,2.129.0,id.dana,DANA,Netral
Sangat memuaskan dan membantu sekali saya suka🙏,5,2026-06-26T04:38:05.000000,Yudhi Irawan,0,2.129.0,id.dana,DANA,Positif
menuju Indonesia emas,5,2026-06-13T02:22:49.000000,Sofi Sofia,0,,com.tokopedia.tkpd,Tokopedia,Positif
"simple praktis hemat biaya admin untuk transaksi di bawah 200ribu,,,gampang tarik tunai di warung bisa di alfamart indomart beli pulsa kuota listrik simple pokonya sangat membatu trima kasih dana",5,2026-06-27T01:36:49.000000,Asep Sudarno,0,2.131.1,id.dana,DANA,Positif
Oke bos,5,2026-06-21T05:54:16.000000,Hendra Mom,0,2.129.0,id.dana,DANA,Positif
iklan kalian mengganggu saya di aplikasi lain,1,2026-05-10T09:08:00.000000,Asrofil Awwalun,0,,com.tokopedia.tkpd,Tokopedia,Negatif
mantab jiwa,5,2026-06-23T12:42:28.000000,Ari Fin,0,3.369.0,com.tokopedia.tkpd,Tokopedia,Positif
driver mengerti,5,2026-06-15T16:41:57.000000,beruang muda81,0,5.63.1,com.gojek.app,Gojek,Positif
oke sip mantap,5,2026-05-29T06:02:01.000000,usman Saputra,0,,com.gojek.app,Gojek,Positif
bagus sekali promo nya banyak sangat bguss,5,2026-06-22T00:26:44.000000,Rosi Raningsih,0,3.369.0,com.tokopedia.tkpd,Tokopedia,Positif
eror punya gw,1,2026-06-28T06:45:57.000000,Yaya Yaya,0,,id.dana,DANA,Negatif
pelayanan bagus,5,2026-06-18T09:59:16.000000,Nasir Wahyudi,0,5.62.2,com.gojek.app,Gojek,Positif
sip dan mudah moga lncar n membantu,5,2026-04-18T05:41:16.000000,Bilqis Soni,0,3.360.0,com.tokopedia.tkpd,Tokopedia,Positif
pokoknya aman nyaman,5,2026-06-27T15:54:47.000000,Regen Rp,0,2.129.0,id.dana,DANA,Positif
"aplikasi dompet digital paling jelek, aplikasi pembohongan",1,2026-06-26T07:39:20.000000,Razaq32_1 Razaq438,0,,id.dana,DANA,Negatif
kenapa dana saya ga bisa refresh,3,2026-06-25T07:15:41.000000,Ryumodric Tapancar,0,2.131.1,id.dana,DANA,Netral
apk tidk jelas gak ada masalah tiba tiba di tangguhkan,1,2026-06-26T15:50:25.000000,Rodilah 10,1,2.131.1,id.dana,DANA,Negatif
jelek,2,2026-06-25T07:58:48.000000,Hamid Tati,0,,com.tokopedia.tkpd,Tokopedia,Negatif
ini Pihak pengelola nya ngga bertanggung jawab saldo saya hilang karena kena tipu merek ngga bisa bantu cari solusi atau bantu balikin duit setelah atu apa gitu kata nya ada Dana Protection ngga ada gunanya hanya buat pajangan parhhhhhhhhh ngga bertanggung jawab mau untung dari nasabah nya doang giliran nasabah ada kendala ngga bertanggung jawab jangan anggap sepele kepercayaan nasabah ke kalian duit yg hilang tu kami cari dengan susah paya PAHM!!!!!!!!¡!!!!!!!!!!!!!!!!,1,2026-06-25T01:38:31.000000,Tes Ter,1,,id.dana,DANA,Negatif
"baguss soalnya kalau misalnya gatau mau makan apa tinggal beli di GoFood, terus kalau misalnya gaada yang bisa nganter ke tempat les, aku pake Gojek, lopyuu kejog :) eh maksudnya gojek💚💚😘",5,2026-06-25T10:54:34.000000,Maria Kaithlyn B Silaban,0,,com.gojek.app,Gojek,Positif
suka deh,5,2026-06-17T13:20:47.000000,floraa,0,,com.tokopedia.tkpd,Tokopedia,Positif
mending ini dari pada shoppy,5,2026-06-13T11:41:32.000000,Mchl El,0,,com.tokopedia.tkpd,Tokopedia,Positif
kwalitas dan amanah yg terjaga,5,2026-05-09T03:54:49.000000,Ade Ade suhe,0,,com.tokopedia.tkpd,Tokopedia,Positif
tokopedia care tanpa tanggapan karena paket belum sampai. akhirnya kena phising..,1,2026-04-03T16:26:08.000000,Kinza Oyabun,1,3.358.0,com.tokopedia.tkpd,Tokopedia,Negatif
sangat suka tidak mengecewakan.,5,2026-06-07T07:09:53.000000,Ainun Ilmiyah,0,,com.gojek.app,Gojek,Positif
pengiriman lama,5,2026-06-13T02:21:58.000000,Arvien Arryoga,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
"aplikasi nya bagus bagus saja, saya hanya ingin menyarankan untuk ongkirnya jangan terlalu mahal. kalau kita lihat apk seperti Shopee itu ongkir nya rendah dan kadang gratis ongkir. ini saja yg sarankan untuk apk tokopedia",5,2026-06-12T10:01:17.000000,Muhammad Daffa,6,3.367.1,com.tokopedia.tkpd,Tokopedia,Positif
"mantap ini aplikasi, daripada shopee aplikasi ga jelas, mending Tokopedia",5,2026-06-12T01:19:33.000000,Rifai Nixie,1,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
gratis ongkir,5,2026-04-01T16:00:01.000000,Iman Nuryaman,0,3.356.0,com.tokopedia.tkpd,Tokopedia,Positif
aneh kenapa setiap claim koun tidak masuk ke akun dan muncul notif terdeteksi aktifias tidak wajar,3,2026-06-27T22:56:50.000000,Aira Khoirunnisa Salsabila,0,5.64.2,com.gojek.app,Gojek,Netral
delivery gofood tengah malam cepat bgt😌,5,2026-06-21T20:19:19.000000,Rani Rahmadani,0,5.63.1,com.gojek.app,Gojek,Positif
"saya kasih bintang 1 karna gara2 kalian saya di marahi driver, saya gak pesan gocar, tapi tau2 ada pesanan di hp saya",1,2026-05-12T11:09:07.000000,Arvi Dwiani,1,5.59.1,com.gojek.app,Gojek,Negatif
mantap dah nih apk,5,2026-06-23T21:19:14.000000,Ramdhan Reza,0,2.129.0,id.dana,DANA,Positif
Alhamdulillah Wasyukrulillah saesedoyo,5,2026-06-28T05:39:42.000000,mulya jaya,0,,com.gojek.app,Gojek,Positif
Saya sangat puas mengunakan Dana,5,2026-06-23T19:22:47.000000,Kasmadi Adi,0,2.129.0,id.dana,DANA,Positif
dah lama pakek dana tapi dana cicil GK ada,5,2026-06-23T19:22:16.000000,Anton Aja,0,2.129.0,id.dana,DANA,Positif
Belum pernah pinjam dana cicil sekalipun,2,2026-06-25T17:22:33.000000,Asep Bomber,0,2.129.0,id.dana,DANA,Negatif
mana ini gratis ongkir? ditungguin ga muncul2,1,2026-06-03T07:26:17.000000,Mulfida Putri,0,3.367.1,com.tokopedia.tkpd,Tokopedia,Negatif
proses transaksi ditokopedia mudah.,5,2026-06-25T09:01:47.000000,ichimonji gouki,0,3.369.0,com.tokopedia.tkpd,Tokopedia,Positif
"semua yg pernah aku tumpang, sopirnya ramah",5,2026-06-02T08:10:20.000000,Uni Cellhamdi,0,5.61.1,com.gojek.app,Gojek,Positif
apk nya top👍,5,2026-06-10T16:48:29.000000,Pisch Tzy,0,,com.tokopedia.tkpd,Tokopedia,Positif
cepat aman dan nyaman,5,2026-05-31T04:21:32.000000,Rudi Azra,0,5.61.1,com.gojek.app,Gojek,Positif
paling males pake gojek 3KM 20ribu njir lah. di Greb 3KM 9k mana ada promo pula. GO-JEK TERMAHAL !!!!!!!!,1,2026-05-28T15:19:47.000000,Muhammad Fauzan,1,5.52.1,com.gojek.app,Gojek,Negatif
Kenapa limit dana cicil saya tidak tersedia dan tidak dapat digunakan,5,2026-06-27T01:35:37.000000,Romansyah Roman,0,2.131.1,id.dana,DANA,Positif
dasar penipu masa diskonnya gak bisa di pakai,1,2026-06-07T13:53:26.000000,Mohammad Wildan,0,3.367.1,com.tokopedia.tkpd,Tokopedia,Negatif
jmo,4,2026-05-05T14:07:34.000000,Sera PW,0,,com.tokopedia.tkpd,Tokopedia,Positif
"ok nice, tpi mehong .. gpplah",5,2026-05-22T05:21:45.000000,habibah 2021,0,5.53.2,com.gojek.app,Gojek,Positif
terimakasih untuk gojeg sangat membatu dalam memudahkan tranfortasi umum dan makanan,5,2026-06-16T00:01:56.000000,NIZA YUNERI S Sos,0,5.52.1,com.gojek.app,Gojek,Positif
lebih mudah dan lebih murah dari transportasi yg lain,5,2026-05-11T09:03:36.000000,Asih Parsih,0,5.59.1,com.gojek.app,Gojek,Positif
fitur dana cicil tidak muncul,4,2026-06-27T05:32:22.000000,Andriko Fauzi,0,2.131.1,id.dana,DANA,Positif
dana mah suka eror kadang kaga bisa buat tf,3,2026-06-27T01:01:49.000000,Xalfathir,0,2.119.0,id.dana,DANA,Netral
"kebanyakan notifikasi,, terganggu",2,2026-05-17T10:09:10.000000,Dsk 072,0,,com.tokopedia.tkpd,Tokopedia,Negatif
"udah seminggu padahal transaksi batal tapi saldo dipotong mana gede pula, tiba2nmasalah selesai dan uangnya belum masuk sepeserpun",1,2026-05-26T21:13:03.000000,Wibu Hengker,1,5.61.1,com.gojek.app,Gojek,Negatif
harga pas di checkout bisa berubah ubah dan juga komentar mau upload foto dan video nya ribet sekali gak bisa langsung dari galeri hp,1,2026-04-28T15:12:42.000000,Iwan,0,3.360.0,com.tokopedia.tkpd,Tokopedia,Negatif
kecewa voucher plus 5k sudah tdk ada lagi,1,2026-04-18T13:00:30.000000,Peri Ikilo,0,,com.tokopedia.tkpd,Tokopedia,Negatif
Apk Tai,1,2026-06-19T09:39:39.000000,C Delapanpoeloeh80,0,,com.gojek.app,Gojek,Negatif
ongkir nya sangat mahal lebih bagus shope dari pada ini,1,2026-06-03T09:28:09.000000,Ade Ade,0,3.366.0,com.tokopedia.tkpd,Tokopedia,Negatif
"Itu tolong lah, Kadang loading lama banget, ampe ga kebuka-buka, Orang laper disiksa sama aplikasi lemot gini, BTW sinyal aman ya emang nih aplikasi aja lemot nya kurang ajar",3,2026-05-28T23:14:25.000000,Kepin Gimang,1,,com.gojek.app,Gojek,Netral
marketplace terbaik buat beli elektronik aokwkwkwkwk,5,2026-06-16T10:29:51.000000,Yoga Pribowo,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
